	TeamName	Annotation
8614	VPh	VPN , , , , , , , , 
8615	ПротивоТаньковое пиво	Противотанковая мина , , , , , , , , 
8616	Большой Черный Тлен	Большой черный член, , , , , , , , 
8617	Раздевай и властвуй	Разделяй и властвуй , , , , , , , , 
8618	Лесной дозор	Ночной дозор , , , , , , , , 
8619	Сиси Кейджа	Сиси Кейч, , , , , , , , 
8620	Малышарики	Смешарики , , , , , , , , 
8621	Нарпёсники	Напёрсники , , , , , , , , 
8622	Квентин с карантина	Квентин Таррантино , , , , , , , , 
8623	Благобухающие!	Благоухающие , , , , , , , , 
8624	Статский Совятник	Статский Советник , , , , , , , , 
8625	Умственно усталые	Умственно отсталые , , , , , , , , 
8626	Инженервная мысль	Инженерная мысль, Нервная мысль, , , , , , , 
8627	Радужные Моржи	Радужные пони , , , , , , , , 
8628	Я и Диод	Я идиот , , , , , , , , 
8629	Исходный кот	Исходный код , , , , , , , , 
8630	PLAM B	plan B , , , , , , , , 
8631	КВИЗдец	Пиздец , , , , , , , , 
8632	Иван Хельсинг	Ван Хельсинг , , , , , , , , 
8633	Бумеранг бобра	Бумеранг добра, , , , , , , , 
8634	эпЮцентр вселенского зла	эпицентр вселенского зла , , , , , , , , 
8635	Кошмар на улице Фряньково	Кошмар на улице Вязов , , , , , , , , 
8636	Фантастические Крали	Фантастические твари, , , , , , , , 
8637	Через Shazam к звёздам	Через тернии к звездам , , , , , , , , 
8638	Йети Галактики	Дети галлактики , , , , , , , , 
8639	Свинья в мешке	Кот в мешке, , , , , , , , 
8640	Румьа с Пумбой	Тимон и Пумба, , , , , , , , 
8641	Партийная ячеёка	Партийная ячейка, , , , , , , , 
8642	Полседьмого ноября	Полседьмого вечера, , , , , , , , 
8643	BADняги	Бедняги 0, Bad, , , , , , , 
8644	Товарищи по счастью	Товарищи по несчастью, , , , , , , , 
8645	Манго втроём	Танго втроём , , , , , , , , 
8646	Смузихлёбы	Водохлебы, , , , , , , , 
8647	Жека Чан	Джеки Чан, , , , , , , , 
8648	Трезвая вишня	Зимняя вишня, , , , , , , , 
8649	Генератор случайных ответов	Генератор случайных чисел , , , , , , , , 
8650	Как тебе такое, Х Æ А-12?	Как тебе такое, Илон Маск? , , , , , , , , 
8651	Трое в лодке, не стесняясь Кристин 	Трое в лодке, не считая собаки , , , , , , , , 
8652	Кучка пЭпла	Кучка пепла, , , , , , , , 
8653	ЭкстраГон	Эстраген , , , , , , , , 
8654	Спорная солянка	Сборная солянка , , , , , , , , 
8655	Инфузория в туфельку	Инфузория туфелька, , , , , , , , 
8656	Галинастоп	голеностоп, , , , , , , , 
8657	Безмозговой штурм	Мозговой штурм, , , , , , , , 
8658	Ремнём по Жоре	Ремнём по жопе, , , , , , , , 
8659	Я хочу от тебя идей	Я хочу от тебя детей, , , , , , , , 
8660	Те-Кого-Можно-Называть	Тот, кого нельзя называть, , , , , , , , 
8661	Когти в печень, никто не вечен	Нож в печень, никто не вечен , , , , , , , , 
8662	Голодные и независимые	Сильные и независимые , , , , , , , , 
8663	ЮрFUCK	Юрфак, , , , , , , , 
8664	ГрандМозгос	ГрандМоторс, , , , , , , , 
8665	Унесенные феном	Унесенные ветром, , , , , , , , 
8666	Трое в лодке считают в столбик	Трое в лодке, не считая собаки , , , , , , , , 
8667	Умственно усталые	Умственно отсталые , , , , , , , , 
8668	Шутка по-пекински	Утка по-пекински, , , , , , , , 
8669	Лось Анджелес	Лос Анджелес, , , , , , , , 
8670	50 оттенков серого вещества	50 оттенков серого, , , , , , , , 
8671	Girls just wanna have gun	Girls just wanna have fun , , , , , , , , 
8672	#физмать	физмат, , , , , , , , 
8673	Аперативная группа	Оперативная группа , , , , , , , , 
8674	Илон Мозг	Илон Маск, , , , , , , , 
8675	Хогвартс депресс	Хогвартс экспресс, , , , , , , , 
8676	Сидячие мертвецы	Ходячие мертвецы , , , , , , , , 
8677	Ахуймитесь	ах, уймитесь , , , , , , , , 
8678	Какого маракуйя?	Какого х*я? , , , , , , , , 
8679	Витипедия	Википедия, , , , , , , , 
8680	Петля удачи	Звезда удачи, , , , , , , , 
8681	Улыбаемся и пашем	Улыбаемся и машем, , , , , , , , 
8682	BADняги	Бедняги , Bad, , , , , , , 
8683	Пушки клан	Куклус клас, , , , , , , , 
8684	Ближе к телу	ближе к делу, , , , , , , , 
8685	Поремся до конца	Боремся до конца , , , , , , , , 
8686	Утомленные самоизоляцией	Утомленные солнцем , , , , , , , , 
8687	Tristagram.com	Instagram.com , , , , , , , , 
8688	Тилари	хилари, , , , , , , , 
8689	А судьи кот	А судьи кто , , , , , , , , 
8690	Жан в Рено	Жан Рено , , , , , , , , 
8691	Товарищи по счастью!	Товарищи по несчастью, , , , , , , , 
8692	Почки-матери	Дочки-Матери, , , , , , , , 
8693	Тристаграм.ком	Инстаграм.ком, , , , , , , , 
8694	В сексе только девочки!	В джазе только девушки , , , , , , , , 
8695	Фантастические твари и места, где они выпивают 	Фантастические твари и места, где они обитают , , , , , , , , 
8696	Родственные уши	Родственные души, , , , , , , , 
8697	Мозговой штрудельь	Мозговой штурм, , , , , , , , 
8698	Маменькин сырок	Маменьки сынок, , , , , , , , 
8699	Аперитивная группа	Оперативная группа , , , , , , , , 
8700	Носки судьбы	Линии судьбы , , , , , , , , 
8701	Круглое вино	Красное вино , , , , , , , , 
8702	Бьюти фри на карантине	Дьюти фри на карантине, , , , , , , , 
8703	#физмаль	физмат, , , , , , , , 
8704	Хачико	Хатико, , , , , , , , 
8705	Рыбка любит тишину	Счастье любит тишину, , , , , , , , 
8706	Ринит плиз	Repeat, please, , , , , , , , 
8707	Трое в лодке, не стесняясь собаки 	Трое в лодке, не считая собаки , , , , , , , , 
8708	Винная гладь	Водная гладь , , , , , , , , 
8709	Тик Токарь	тикток, , , , , , , , 
8710	Your Bunny wrote	ёбаный в рот , , , , , , , , 
8711	Число Ти	Число Пи , , , , , , , , 
8712	СамиСусами	Сами с усами , , , , , , , , 
8713	Слив Джобс	Стив Джобс, , , , , , , , 
8714	Веселый да Винчи	Леонардо да Винчи , , , , , , , , 
8715	Двое в квартине не считая кошки	Трое в лодке, не считая собаки , , , , , , , , 
8716	Цветочек Вяленький	Цветочек аленький , , , , , , , , 
8717	Одна в поле воин	Один в поле не воин, , , , , , , , 
8718	Неопознанный летающий омлет	Неопознанный летающий объект, , , , , , , , 
8719	Лоботомический сад	Ботанический сад, , , , , , , , 
8720	Не для тебя цветочек ром	Не для тебя цветочек рос , , , , , , , , 
8721	МозгиНаВынос	Еда на вынос, , , , , , , , 
8722	Вишни под солнцем	Место под солнцем , , , , , , , , 
8723	Ходячие мудрецы	Ходячие мертвецы , , , , , , , , 
8724	Фрейд зона	Френдзона , , , , , , , , 
8725	безУмный офисный бекон	офисный планктон, , , , , , , , 
8726	ХачиКо	Хатико, , , , , , , , 
8727	требую присутсивя Авокады	требую присутствия адвоката , , , , , , , , 
8728	грей Сашу, Сашу Грей!	Саша Грей, , , , , , , , 
8729	Я не знал, что рыбки любят тишину 	Я не знал, что счастье любит тишину , , , , , , , , 
8730	Напёсники	Напёрсники , , , , , , , , 
8731	Те, кого называть можно	Тот, кого называть нельзя, , , , , , , , 
8732	Бомжур, красавица!	Бонжур, красавица, , , , , , , , 
8733	С Порно	спорно , , , , , , , , 
8734	Трудно быть боком	Трудно быть Богом, , , , , , , , 
8735	Узники Дивана	Узник Азкабана , , , , , , , , 
8736	Поющие в форточку	Поющие в терновнике , , , , , , , , 
8737	НеВинная Вечеринка	Невинная вечеринка, , , , , , , , 
8738	Муммии и тролли	Мумий Тролль , , , , , , , , 
8739	Голоса в наушнике	Голоса в голове , , , , , , , , 
8740	Jingle Daniel's	Jack Daniel's, Jingle Bells, , , , , , , 
8741	Алмазная пуля	Серебряная пуля, , , , , , , , 
8742	Берегись локомотива	Берегись автомобиля , , , , , , , , 
8743	Фарш Мендельсона	Марш Мендельсона , , , , , , , , 
8744	8 друзей Шоршиной	8 друзей Оушена, , , , , , , , 
8745	Пармезанская башня	Пизанская башня, , , , , , , , 
8746	Джаред Летов	Джаред Лето, , , , , , , , 
8747	Раздевай и влатвуй	Разделяй и властвуй, , , , , , , , 
8748	Булашная	Булочная , , , , , , , , 
8749	Карты, деньги, валидол	Карты, деньги, два ствола, , , , , , , , 
8750	Давид-19	Ковид-19, , , , , , , , 
8751	Агенты021	Агенты 007, , , , , , , , 
8752	Дубовый сок	Березовый сок , , , , , , , , 
8753	Лавандовый раф, чтобы ты заплакала	Медлячок, чтобы ты заплакала, , , , , , , , 
8754	Свитер в голове	Ветер в голове, , , , , , , , 
8755	Унесенный спиртом	Унесенные ветром, , , , , , , , 
8756	Голоса в наушниках	Голоса в голове , , , , , , , , 
8757	Инженервная мысль	Инженерная мысль, Нервая мысль , , , , , , , 
8758	Инфузория - тупилька	Инфузория-туфелька, , , , , , , , 
8759	Ума палата №6	Ума палата, Палата № 6, , , , , , , 
8760	Бесславные обрезки	Бесславные ублюдки, , , , , , , , 
8761	Дзен Сурка	День сурка, , , , , , , , 
8762	Двенадцать негритят	Десять негритят , , , , , , , , 
8763	Коррозия логики	Корррозия металла , , , , , , , , 
8764	Пацаны и пацанессы	Пацаны и принцессы , , , , , , , , 
8765	Витамины группы Ш	Витамины группы В , , , , , , , , 
8766	Маши и медведь	Маша и медведь , , , , , , , , 
8767	Take It Quizzy	Take it easy , , , , , , , , 
8768	9 друзей Антоушена	8 друзей Оушена, , , , , , , , 
8769	Папа Дав, квадратные штаны 	Губка Боб,квадратные штаны , , , , , , , , 
8770	КоронаВитас	Коронавирус, , , , , , , , 
8771	Кава Леры	Кавалеры, , , , , , , , 
8772	Кровосмешарики	Смешарики, Кровосмешение, , , , , , , 
8773	Плотина логи	Плати налоги , , , , , , , , 
8774	Кто не рисует, тот не пьёт шампанское!	Кто не рискует, тот не пьет шампанского, , , , , , , , 
8775	Кладбище домашних работ	Кладбище домашних животных, , , , , , , , 
8776	Двойной экспрессо	Двойной эспрессо, , , , , , , , 
8777	Первый блин с ромом	Первый блин комом, , , , , , , , 
8778	Мистер и Миссис Смит	Мастер и Маргарита , Мистер и миссис Смит , , , , , , , 
8779	Неслучайные знакомые	Случайные знакомые , , , , , , , , 
8780	КапиТаньская Дичъ	Капитанская дочка, , , , , , , , 
8781	Не очень омерзительная восьмерка	Восхитетельная восьмерка, , , , , , , , 
8782	Мюсляндиум вголоволоза	Вингардиум левиоса, , , , , , , , 
8783	Атлант затарил гречи	Атлант расправил плечи , , , , , , , , 
8784	59.43 градуса по Кониплотино	451 градус по Фарингейту , , , , , , , , 
8785	Шляподумы	Дугодумы , Шляпа, , , , , , , 
8786	Котелок и на гильотине варит	Котелок не варит , , , , , , , , 
8787	Из-за КАДа	Из заката , , , , , , , , 
8788	Корпорация Мо…	Корпорация монстров , , , , , , , , 
8789	Ёжики в сметане	Ёжик в тумане , , , , , , , , 
8790	BREAKING Walt	Breaking Bad , , , , , , , , 
8791	Дилетантофф	Дилетант, , , , , , , , 
8792	Беги, вжух, беги	Беги, Форест, беги , , , , , , , , 
8793	Посторонним В	Посторонним вход воспрещен , , , , , , , , 
8794	Закон Дома	Закон Ома, , , , , , , , 
8795	Ход Ежом	Ход конём , , , , , , , , 
8796	Архангельское АФТО	Архангельское авто , , , , , , , , 
8797	Извилин судьбы	Ирония судьбы , , , , , , , , 
8798	Квазисенсорныйстереотемброблок	Квазисенсорный Стерео Темброблок, , , , , , , , 
8799	Мир! Труд! Лапки! (Цельномеховые лапули)	Мир! Труд! Май! , , , , , , , , 
8800	аMORIARTIзация	амортизация , Мориарти (Moriarty), , , , , , , 
8801	Птицы говорун	Птица говорун, , , , , , , , 
8802	Могли, но не Сталин	могли, но не стали , , , , , , , , 
8803	Висакосный Кот	Висакосный год , , , , , , , , 
8804	яХХХз	я хз, , , , , , , , 
8805	В семь у дачи	Всем удачи , , , , , , , , 
8806	Котелок варит зелье	Котелок не варит , , , , , , , , 
8807	Encounter leviosa	Wingardium Leviosa, , , , , , , , 
8808	МедБред	Медбрат , , , , , , , , 
8809	all cats are beautoful	all cats are beautiful , , , , , , , , 
8810	Кот дай виньчик	Леонардо да Винчи , , , , , , , , 
8811	#бицабороца	бииться, бороться , , , , , , , , 
8812	Станционный мыслитель	Станцонный смотритель, , , , , , , , 
8813	Затокрасивиус Тоталус	Петрификус Тоталус, , , , , , , , 
8814	Your bunny wrote	ебанный в рот , , , , , , , , 
8815	Сладкоеды	сладкоежки , , , , , , , , 
8816	Теория взрыва мозга	Теория большого взрыва, , , , , , , , 
8817	Надежда не умирает	Надежда умирает последней , , , , , , , , 
8818	В Эрудированном Состоянии	В эрегированном состоянии, , , , , , , , 
8819	Переходи на красное	Не переходи на красный , , , , , , , , 
8820	Мозговой штрудель	Мозговой штурм , , , , , , , , 
8821	Нахальный фрукт	Наглый фрукт , , , , , , , , 
8822	Хитрожёлтые	Хитрожопые , , , , , , , , 
8823	Цвет настроения… Умный	Цвет настроения синий , , , , , , , , 
8824	Красавицы без чудовища	красавица и чудовище , , , , , , , , 
8825	Педагогини и Ко	Педагоги , , , , , , , , 
8826	Анна Виски	Жанна Фриске, , , , , , , , 
8827	Чепецк слезам не верит	Москва слезам не верит , , , , , , , , 
8828	Море от ума	Горе от ума, , , , , , , , 
8829	Ясень пень	ясен  пень, , , , , , , , 
8830	Борщевик	Большевик , , , , , , , , 
8831	Элементарно, Паклюкер	Элементарно, Ватсон , , , , , , , , 
8832	Е_ЖивиКа	Ежевика , Живи-ка, , , , , , , 
8833	Ягоды ПЕДАгоджи	Ягоды годжи , , , , , , , , 
8834	НЕNK@ли	Хинкали , , , , , , , , 
8835	Волшебники изумрудного	Волшебники изумруднго города , , , , , , , , 
8836	нас Рать!	насрать , , , , , , , , 
8837	7 подруг Антоушена!	8 подруг Оушена, , , , , , , , 
8838	Мама мыла в Раме	Мама мыла раму , , , , , , , , 
8839	Мякоть сочного наргла	Мякоть сочного манго , , , , , , , , 
8840	Гусь Жванецкий	Жатецкий гусь , , , , , , , , 
8841	Манго Освобожденный	Джанго освобожденный , , , , , , , , 
8842	Тайна КОКОшника (Сборная Мозгобойни) 1 год	Тайна Коко, , , , , , , , 
8843	3,14 здесь	Пиздец , , , , , , , , 
8844	Ленгардиа Левиоуса	Вингардиум левиоса, , , , , , , , 
8845	Дракономать	мать драконов, , , , , , , , 
8846	"Всегда говори ""УИ!"""	"Всегда говори ""Да!"", , , , , , , , "
8847	Красавицы и чудовище	красавица и чудовище , , , , , , , , 
8848	Почемубы и да	Почему бы и нет , , , , , , , , 
8849	Мерси в боку	Мерси боку (Merci beaucoup), , , , , , , , 
8850	Лысый из Plintuzz	лысый из brazzers, , , , , , , , 
8851	Порн Авентура	Айс Вентура , , , , , , , , 
8852	Сельдереевичи	Сельдерей , , , , , , , , 
8853	Пятёрка и вЛатарь	Пятёрка и вратарь , , , , , , , , 
8854	Если не мы, то Кот!	Если не мы, то кто? , , , , , , , , 
8855	Поколение Игорь	Поколение Y, , , , , , , , 
8856	Война и пир	Война и мир , , , , , , , , 
8857	джастИНТИМбирлейк	Джастин Тимберлейк, интим , , , , , , , 
8858	СовоКУПИМ волосы	Совокупляться, Купим волосы , , , , , , , 
8859	4 всадника прокрастинации	4 всадника Апокалипсиса , , , , , , , , 
8860	7е пекло	Седьмое небо , , , , , , , , 
8861	Дементроты smile	Дементоры , , , , , , , , 
8862	СМужикON	С мужиком , , , , , , , , 
8863	Мышь и Як	Мышьяк, , , , , , , , 
8864	Судак-тудак	Туда-сюда, , , , , , , , 
8865	Генеральная упорка	Генеральная уборка, , , , , , , , 
8866	Мюсли в норке	Мышки в норке , , , , , , , , 
8867	Тайная хромосома	Лишняя хромосома , , , , , , , , 
8868	Синяя чахохобля	Чахохбили, , , , , , , , 
8869	гулибика	голубика, , , , , , , , 
8870	Мозги за Гиги	Гиги за шаги, , , , , , , , 
8871	Узники алкобара	Узник Азкабана, , , , , , , , 
8872	Харизматички	Маразматички , , , , , , , , 
8873	БезУмцы	безумцы, , , , , , , , 
8874	Сила мюсли	сила мысли , , , , , , , , 
8875	Девушки, у Родины выходите	девушки уродины выходите, , , , , , , , 
8876	Мишки гамят	Мишки Гамми , , , , , , , , 
8877	Алкогорации	Горации, Алкоголь , , , , , , , 
8878	Достучаться до мозгов	Достучаться о небес , , , , , , , , 
8879	Сидячие мертвецы	Ходячие мертвецы , , , , , , , , 
8880	Отряд самоупийц	Отряд самоубийц , , , , , , , , 
8881	НомиНЭНТы на Оскар	Номинанты на Оскар , , , , , , , , 
8882	Анонимные Книгоголики	Анонимные алкоголики , , , , , , , , 
8883	Передовые труженники села	Передовые труженики тыла , , , , , , , , 
8884	Чёрная чахохобля	Чахохбили, , , , , , , , 
8885	Цвет настроения Телепузик!	Цвет настроения синий , , , , , , , , 
8886	Окей Гоголь	Окей гугл, , , , , , , , 
8887	#ЦветнастроенияЛисий	Цвет настроения синий , , , , , , , , 
8888	Шерше ля Факт	Шерше ля фам , , , , , , , , 
8889	ПТО - шка	Пташка, , , , , , , , 
8890	Звездный геймер Альц	Болезнь Альцгеймер, , , , , , , , 
8891	Недетская ожиданность	Детская неожиданность , , , , , , , , 
8892	Авакадо	Авокадо, , , , , , , , 
8893	HotDoc	Хотдог (Hot Dog), , , , , , , , 
8894	Обладатели кубка по Жрибичу	Обладатели кубка по Квиддичу , , , , , , , , 
8895	Несвязная ху(рма)	Несвязная хуйня, , , , , , , , 
8896	Дональд Трампампам	Доналд Трамп , , , , , , , , 
8897	Число Ти	Число Пи , , , , , , , , 
8898	BESTозавры	best, динозавры , , , , , , , 
8899	Мастер и фломастеры	Мастер и Маргарита , , , , , , , , 
8900	Эвкализуйте легалипт	Легализуйте эвкалипт , , , , , , , , 
8901	Поллюция нравов	Полиция нравов , , , , , , , , 
8902	7ъем 5ятниц	Семь пятниц , , , , , , , , 
8903	Горе без ума	Горе от ума , , , , , , , , 
8904	Ёршик в тумане	Ёжик в тумане , , , , , , , , 
8905	Стальные Ми-нервы	стальные нервы , Минерва, , , , , , , 
8906	Новоселье ГАРАНТируем	Веселье гарантируем , Новвоселье , Гарантия , , , , , , 
8907	Выживут только бюджетники	Выжиивут только любовники , , , , , , , , 
8908	Вхухоль и выхухоль	Выхухоль , , , , , , , , 
8909	Дабл Ять	да блять , , , , , , , , 
8910	Атличники	Отличники , , , , , , , , 
8911	Утомлённые самоизоляцией	Утомленные солнцем , , , , , , , , 
8912	Жирные Банковские Коты	Жирные мартовские коты, , , , , , , , 
8913	Код Шрёдингера	Кот Шрёдингера, , , , , , , , 
8914	Гарри Роулингович	Гарри Поттер, Джоан Роулинг , , , , , , , 
8915	Курт Котейн	Курт Кобейн , , , , , , , , 
8916	Товар и щи	Товарищи , , , , , , , , 
8917	Хитрая Каза	Хитрая коза, , , , , , , , 
8918	Хурма какая-то	Хуйня какая-то , , , , , , , , 
8919	Сестры Клочко VS Братья Клочко	Братья Кличко , , , , , , , , 
8920	Синие духом	Сильные духом , , , , , , , , 
8921	Нефкурил	Не вкурил , , , , , , , , 
8922	Паровозик, который ЧУХ-ЧУХ не смог	Паровозик, который смог , , , , , , , , 
8923	Святой Вазелин	Святой Валентин , , , , , , , , 
8924	Распродажи галактики	Стражи галактики , , , , , , , , 
8925	Унесенные Гусём	Унесенные ветром , , , , , , , , 
8926	Pussy-лебеди	Гуси-лебеди , , , , , , , , 
8927	Синие ходоки	Белые ходоки , , , , , , , , 
8928	Вопрос с пристрастием	допрос с пристрастием , , , , , , , , 
8929	Лига Шампиньонов	лига чемпионов , , , , , , , , 
8930	Сбрэнди	сбрендил , бренди , , , , , , , 
8931	Тролли Вали	трали-вали, , , , , , , , 
8932	СПАСИЛЬНИКИ	Насильники , , , , , , , , 
8933	Запах Гарри и Поттера	Запах Гарри Поттера , , , , , , , , 
8934	Amor°тити°зация	амортизация , Amor , тити , , , , , , 
8935	ЗаUSBись	Заебись , , , , , , , , 
8936	ХЭЗЭ	хз, , , , , , , , 
8937	Потусторонние люди	Потусторонние силы , , , , , , , , 
8938	Котриарх парил	Патриарх Кирилл , , , , , , , , 
8939	Как даа пальца	как два пальца , , , , , , , , 
8940	Синий шум	Белый шум , , , , , , , , 
8941	Одно экспрессо	Один эсперссо , , , , , , , , 
8942	СТАРОПУЗИКИ	Телепузики , , , , , , , , 
8943	Проспект Леннона	Проспект Ленина , , , , , , , , 
8944	Лоботомический сад	Ботанический сад , , , , , , , , 
8945	Непьющие в крыжовнике	Поющие в терновнике , , , , , , , , 
8946	Нинаю	Не знаю , , , , , , , , 
8947	ПрофиТролли	профитроли , , , , , , , , 
8948	Самоизоляц и Я	Самоизоляция , , , , , , , , 
8949	ВеснаНасТупила	Весна наступила , , , , , , , , 
8950	3,14 люля	Пилюля , , , , , , , , 
8951	УМДОДЫР	Мойдодыр , , , , , , , , 
8952	50 оттенков красного	50 оттенков серого , , , , , , , , 
8953	МозжеЧО?	мозжечок , , , , , , , , 
8954	Хромосомы да Винчи	Леонардо а Винчи , , , , , , , , 
8955	Кереешки	Кириешки , , , , , , , , 
8956	Весёлый Да Винчи	Леонардо а Винчи , , , , , , , , 
8957	SOSки	соски , SOS, , , , , , , 
8958	DruZZers	 brazzers, , , , , , , , 
8959	Геолог Оргий	Геолог Георгий , , , , , , , , 
8960	Ёбырь маминой подруги	Сын маминой подруги , , , , , , , , 
8961	Сестры Клочко VS Братья Кличко	Братья Кличко , , , , , , , , 
8962	Лидодегенерация	Лидогенерация, , , , , , , , 
8963	Мужики #НЭНТанцуют	Мужики не танцуют , , , , , , , , 
8964	SAPротивление бесполезно	Сопротивление бесполезно , , , , , , , , 
8965	Красота в PROFIль	красота в профиль , Profi , , , , , , , 
8966	Ламбада Ильича	Лампа Ильича , , , , , , , , 
8967	Коллоборация	Коллаборация, , , , , , , , 
8968	Шаршеляфам	Шерше ля фам , , , , , , , , 
8969	Ковёр-Вертлёт	Ковёр-самолёт , , , , , , , , 
8970	Борцы с умом	Борцы сумо , , , , , , , , 
8971	Игра на межевание	Игра на выживание , , , , , , , , 
8972	Бизарные потуги	Бинарные потоки , Бизарные приключения , , , , , , , 
8973	Домовёнок в зюзю	Домовёнок Кузя, , , , , , , , 
8974	Аннушка купила костюм медсестры	Аннушка купила масло , , , , , , , , 
8975	Пластелин колец	Властелин колец, , , , , , , , 
8976	ЖЭК потрошитель	Джек Потрошитель , , , , , , , , 
8977	50 оттенков помады	50 оттенков серого , , , , , , , , 
8978	QUIZa Nostra	 Cosa Nostra, QUIZ, , , , , , , 
8979	А-Атличная компания	Отличная компания , , , , , , , , 
8980	Попугай Борис	Кот Борис , , , , , , , , 
8981	Красная туфелька	Хрустальная туфелька, Красная шапочка , , , , , , , 
8982	Джеймс Блонд	Джеймс Бонд , , , , , , , , 
8983	Хочется-ПереХОХОчется	Хочется - перехочется , , , , , , , , 
8984	Всем бобра	Всем добра , , , , , , , , 
8985	Вентиль Тарантино	Квентин Тарантино , , , , , , , , 
8986	Вологодское АФТо	Вологодское авто , , , , , , , , 
8987	Сладкие заПИСИ	Сладкие записи , , , , , , , , 
8988	Пофэншуй	По фэншую , , , , , , , , 
8989	Триумфальная жарка	Триумфальная арка , , , , , , , , 
8990	Кутикулы в Мексике	Каникулы в Мексике , , , , , , , , 
8991	СТОШАГОВВПЕРЕД	Сто шагов назад , , , , , , , , 
8992	Это генитально!	Это гениально! , , , , , , , , 
8993	Карательный оргАн	карательный Орган, , , , , , , , 
8994	Коромысли	Коромысло , , , , , , , , 
8995	Леди ИКС	Люди ИКС , , , , , , , , 
8996	Колобратские жуки	Колорадские жуки , , , , , , , , 
8997	Нерф Шрёдингера	Кот Шрёдингера , , , , , , , , 
8998	Хурма в иллюминаторе	Земля в иллюминаторе , , , , , , , , 
8999	Разумные мЮсли	разумные мысли , , , , , , , , 
9000	Имбирь всемогущий	Брюс всемогущий , , , , , , , , 
9001	Amoreтизация	Амортизация , Amor , , , , , , , 
9002	Платформа 9.75	Платформа 9 3/4, , , , , , , , 
9003	Скверна словы	Сквернословы , , , , , , , , 
9004	Играть-копать	ебать-копать , , , , , , , , 
9005	Дастоевские	Достоевский , , , , , , , , 
9006	Шампиньоны всех стран, соединяйтесь!	Пролетарии всех стран, соединяйтесь!, , , , , , , , 
9007	Продадим душу MARVELу	Продадим душу дьяволу , , , , , , , , 
9008	Боевой обжор	Боевой дозор , , , , , , , , 
9009	Мозгобойлер	Мозгобойня , , , , , , , , 
9010	Атос, Портос и ddos	Атос, Портос и Арамис, , , , , , , , 
9011	Безопасные связи	Опысные связи , , , , , , , , 
9012	#СплюНАХоду	Сплю на ходу , , , , , , , , 
9013	Хан Ксоло	Хан Соло , , , , , , , , 
9014	УмаШтурман	Ума Турман , , , , , , , , 
9015	Вомбата Кристи	Агата Кристи , , , , , , , , 
9016	Что?Где?Зачем?	Что? Где? Когда? , , , , , , , , 
9017	Котриархум Левиоса	Вингардиум Левиоса , , , , , , , , 
9018	Филиное куре	Куриное филе , , , , , , , , 
9019	Саламандр Македонский	Александр Македонский, , , , , , , , 
9020	Головосломка	Головоломка , , , , , , , , 
9021	AllХимики	Алхимики , , , , , , , , 
9022	Трах-тбдх	Трах-тибидох, , , , , , , , 
9023	Забродившее ситро	Забродившее вино , , , , , , , , 
9024	Василий Андреевич меняет профессию	Иван Васильевич меняет профессию , , , , , , , , 
9025	Неестественный отбор	Естественный отбор , , , , , , , , 
9026	Тригодронитросульфат ницшеаноновой кислоты	ницше , гидросульфат нитрозила , , , , , , , 
9027	Ачкарики	Очкарики , , , , , , , , 
9028	Декорация прав человека	Декларация прав человека , , , , , , , , 
9029	Белочка-хотелочка	Белочка-умелочка , , , , , , , , 
9030	Поющие в коровнике	Поющие в терновнике , , , , , , , , 
9031	Herr Зигмунд	Фрейд Зигмунд , , , , , , , , 
9032	Акробатенька	Акробат , Батенька , , , , , , , 
9033	Место клизмы изменить нельзя	Место встречи изменить нельзя , , , , , , , , 
9034	Тигры разума	игры разума , , , , , , , , 
9035	Холодцы	Молодцы , , , , , , , , 
9036	Сердце за мерло	Серрдце  замерло , , , , , , , , 
9037	Следствие не ведут	Следствие ведут , , , , , , , , 
9038	Ногавногу	Нога в ногу , , , , , , , , 
9039	Звезданутый десант	Звездный десант , , , , , , , , 
9040	Стражи салатиков	Стражи галактики , , , , , , , , 
9041	Тыквы разума	игры разума , , , , , , , , 
9042	Острые каблуки	Острые козырьки , , , , , , , , 
9043	Двойное экспрессо	Двойной эспрессо , , , , , , , , 
9044	Роботы под прикрытием	работы под прикрытием , , , , , , , , 
9045	Здесь могла быть ваша команда	здесь могла быть ваша реклама , , , , , , , , 
9046	СМужикоON	С мужиком , , , , , , , , 
9047	Друзь и я	Друзья , , , , , , , , 
9048	Со вкусом грязных шампиньонов	со вкусом шампиньонов , , , , , , , , 
9049	Хьюстон, у нас имбирь!	Хьюстон, у нас проблема! , , , , , , , , 
9050	Первый блин не комом	Первый блин комом , , , , , , , , 
9051	Займ в большом городе	Секс в большом городе , , , , , , , , 
9052	Друзь-Я	Друзья , , , , , , , , 
9053	В Питере тире пить	В Питере - пить, , , , , , , , 
9054	БойКотики	Бойкот , , , , , , , , 
9055	От большого ума	Не от большого ума, , , , , , , , 
9056	Тепла Воз	Тепловоз, , , , , , , , 
9057	Лаборатория доктора Спиртенштейна	Лаборатория доктора , Спирт , , , , , , , 
9058	Финиксы	Феникс , , , , , , , , 
9059	В джазе только мы	В джазе только девушки , , , , , , , , 
9060	Кот Довинчен	Код да Винчи , , , , , , , , 
9061	БеZOOMцы	Безумцы , Zoom , , , , , , , 
9062	Ясень-пень	Ясен пень , , , , , , , , 
9063	Курог с пирогой	Пирог с курой , , , , , , , , 
9064	Котриарх близко	Зима близко , , , , , , , , 
9065	пЭрсики	персики , , , , , , , , 
